tipo	fabricante	modelo	portas/capacidade	autonomia	ano	placa	renavam	chassi	reservado
carro	Ford	Ka	2	12.65	2017	PFL-9250	85539469582	9BFE6F0YFKTUFGSEP	False
ute	Mercedes-Benz	Sprinter	1800	13.55	2017	PSK-9199	90583397397	9BM9A4VPGILC0CUEP	False
ute	Fiat	Ducato	1800	10.63	2017	PWN-5855	16107831366	9BDBNDU85WK81T3BR	False
carro	Ford	Ka	4	11.06	2017	PGK-5238	02754151445	9BFW8J7F1IU3PF7BP	False
van	Fiat	Ducato	17	18.0	2014	PBG-9931	68108071946	9BDN2GBU31G6FJBZC	False
van	Fiat	Ducato	13	11.45	2017	PEF-9023	13636833873	9BDOJZ3D5TF3I3TF0	False
carro	Honda	Civic	2	14.57	2015	PND-9409	41537886522	93H33C8ALUFFIPQLF	False
carro	Ford	Ka	2	13.89	2017	OXB-7419	23218135586	9BF2WR6K00ZOJPVGS	False
van	Fiat	Ducato	11	11.49	2016	PSZ-7454	26586772393	9BDL2TH6PB6OHFCP2	True
van	Mercedes-Benz	Sprinter	14	10.92	2016	PAN-3635	83433186501	9BMTIIB106ZD8FUP3	False
van	Mercedes-Benz	Sprinter	8	11.17	2017	PSE-9829	21576677377	9BMH10QDH2YZ4EV6Q	True
carro	Chevrolet	Spin	4	10.97	2017	PGM-1164	81332439476	9BGAK67TZ7U2EOE2X	False
van	Mercedes-Benz	Sprinter	14	14.84	2015	PZK-2406	13475282340	9BMDX9EEIGNT9VGT2	False
van	Mercedes-Benz	Sprinter	15	8.49	2017	PCL-2337	15921939787	9BMRIYQAZXEU40UX3	False
van	Mercedes-Benz	Sprinter	10	5.33	2017	OVN-2357	53405393937	9BMP2U61JITNO9GPJ	False
van	Fiat	Ducato	13	9.39	2017	PQO-2525	66695782452	9BDS6H03TRXP6HP8A	False
van	Mercedes-Benz	Sprinter	11	7.19	2017	PGB-7938	48384190016	9BMY6JEZ4TVHVJ213	False
van	Fiat	Ducato	9	13.99	2015	PDB-4449	54121382277	9BDU2C72MSZJEX2RE	False
ute	Mercedes-Benz	Sprinter	1800	9.65	2016	PGZ-0607	23953333171	9BM6QV24O44128ZS4	True
carro	Fiat	Uno	4	12.65	2017	POI-7553	21955158834	9BD3U4NG7WEVMJ61J	False
carro	Toyota	Corolla	4	8.87	2017	PKU-7249	61947914587	9BR7S8QW00AH28YY1	False
carro	Honda	Civic	2	11.1	2017	PFJ-7383	50903855334	93HHNCXK53E9RNLNZ	False
van	Mercedes-Benz	Sprinter	12	6.52	2017	PEL-8870	44986943100	9BMW7OMD2GCLSPIKW	False
carro	Toyota	Corolla	4	12.58	2016	PXW-3353	55221413346	9BR4FZ468TTHDDKXY	False
carro	Ford	Ka	4	14.78	2017	PIU-4803	42075052790	9BFZXSQ3Q9Q2ZIQHM	False
ute	Mercedes-Benz	Sprinter	1800	11.77	2015	PEY-4760	72183610868	9BMAOL4JNNR1R618B	False
carro	Fiat	Uno	4	16.36	2017	PIS-5565	37162655532	9BDZLYBVSSA66XWVI	False
carro	Honda	Civic	4	12.5	2016	PII-2534	53667340929	93H3P5NU1ABJUHE4X	False
carro	Volkswagen	Gol	2	13.11	2016	PXR-5102	13958299372	9BW474FKTFT113NYS	False
van	Fiat	Ducato	17	11.66	2017	PJZ-0338	37695591752	9BD10TOYJEB7LMOUF	True
van	Mercedes-Benz	Sprinter	13	11.06	2016	PPL-4502	22744163998	9BMPD6RVP1ZN803XM	True
carro	Honda	Civic	4	10.75	2015	PVT-2950	17323243818	93H7MCTJFI94FK6VX	False
carro	Renault	Sandero	4	13.95	2017	PAK-6654	18598247117	93YVCU69VARBKG83K	False
carro	Chevrolet	Onix	2	17.28	2014	OHC-9659	90720054310	9BGQ5VBQF9GWQ1TG9	False
carro	Toyota	Corolla	2	13.6	2017	PRJ-8913	44257373602	9BR93UGVMYSG3LVI1	False
carro	Fiat	Uno	4	13.95	2017	PVM-6400	81648688839	9BD4WRNBQIP17VC1U	False
carro	Volkswagen	Gol	4	12.62	2015	PHP-8785	44707963054	9BWIE9EY0AUWXW9MN	False
van	Fiat	Ducato	13	11.89	2016	PGY-4129	69327971828	9BDARLRJG1RWGE5X7	False
carro	Honda	Civic	4	13.98	2017	PQY-0093	44394318564	93H2GKLZRI64I3PMQ	False
van	Mercedes-Benz	Sprinter	12	8.07	2016	PAY-7684	15080195005	9BMKF9YPTP5XRC6C6	False
ute	Mercedes-Benz	Sprinter	1800	7.49	2016	PVI-8176	12458442401	9BMRVM4NFSAVHS7U4	False
carro	Honda	Civic	4	12.44	2015	PBL-1634	16908899955	93HL6RKHJDZE9XL6U	False
van	Fiat	Ducato	14	11.82	2017	PSV-8395	61237766641	9BD0R5MV49TPJR6Y7	False
carro	Chevrolet	Prisma	4	12.34	2015	PFZ-0656	30716911002	9BGIUESC32G0TIXIQ	False
van	Fiat	Ducato	11	10.06	2016	PDA-6341	47817929695	9BDRUGO75IJPDBN3T	False
ute	Fiat	Ducato	1800	12.07	2016	OTV-7738	55407887067	9BDIHJKVEBA9TWJTV	True
carro	Toyota	Corolla	4	10.07	2017	PXO-1837	18249747276	9BR609HS1ANJ10YNE	True
carro	Honda	Civic	4	14.36	2015	PBL-6903	24960404383	93HQ0ZGVRCAPZQNGH	False
carro	Chevrolet	Prisma	4	8.64	2017	PTU-2154	71415371327	9BGOK3MSRGHN96XBB	False
van	Fiat	Ducato	15	9.13	2016	PQZ-7280	95707015955	9BD1GCFDM2I480HWL	False
carro	Ford	Ka+	4	9.73	2015	PTT-5912	63950919319	9BF1SB3617XYOQV11	False
ute	Fiat	Ducato	1800	9.38	2017	PDK-6813	26102748824	9BD2KL2LA47UMQN6Y	False
carro	Ford	Ka+	4	10.01	2017	ONS-0706	86627695005	9BFJ1SNNBE8MYR0R1	False
van	Fiat	Ducato	10	10.86	2017	PLR-5337	49593572097	9BDXX84RWJI8OPC7O	False
van	Mercedes-Benz	Sprinter	15	10.86	2015	PCP-6436	11357064235	9BMDPQSWG3DZI6M3Y	False
ute	Fiat	Ducato	1800	9.08	2014	PUS-1508	36170277472	9BDP50VBGBF3Z4UBL	False
van	Mercedes-Benz	Sprinter	15	12.0	2017	PCG-8082	92826217502	9BMFX65NWCW4L5FOC	False
van	Fiat	Ducato	15	12.46	2016	PDF-8049	85207141105	9BDAES8EOYTZGFQXT	False
carro	Renault	Sandero	2	8.75	2014	PPU-1096	10216574456	93Y2Z15PKTQZOE0XG	False
carro	Toyota	Corolla	4	9.36	2017	PIF-8987	86589383714	9BRLBLHO40NSP9CNN	False
carro	Renault	Sandero	4	16.77	2017	PBF-5365	97300875431	93YX8X0OYTD57UER8	False
carro	Fiat	Uno	4	13.85	2015	PWV-2405	46709556180	9BDP7J9D1282FOEJV	False
van	Mercedes-Benz	Sprinter	13	12.14	2017	PMI-1149	78664548024	9BME39W9KU3841E1B	False
carro	Volkswagen	Gol	4	14.33	2017	OPX-1343	44931793872	9BW4H7UY9LS0B1C2C	False
van	Fiat	Ducato	14	12.71	2017	PWE-5866	32627392683	9BD6U6RESGNLJQ838	True
carro	Ford	Ka	2	13.61	2017	PUQ-8294	24003281214	9BFZMXC6JN7HS8LJV	False
carro	Renault	Sandero	4	10.71	2014	PGK-3778	64647165614	93YCZMREB7XX7JEFC	False
ute	Fiat	Ducato	1800	11.74	2015	PXY-0892	44426464987	9BD1IZ7GPWASI0ACA	True
van	Fiat	Ducato	8	14.65	2015	PMZ-4909	11708739549	9BDT0VV35IHPPMZEC	False
van	Mercedes-Benz	Sprinter	13	12.1	2017	OBB-1645	37274848799	9BM57IMNRKFUPIRHG	False
carro	Chevrolet	Prisma	2	9.23	2016	PHV-7114	62256062875	9BGW7XULD53W5H46O	False
carro	Honda	Civic	4	10.36	2017	OZA-6771	96007621683	93HT0KG9AYQLBIJGQ	False
carro	Honda	Civic	4	10.59	2017	PXA-5228	88384286583	93H06LTQ1XGWBZSAK	False
carro	Ford	Ka	4	9.17	2017	PTD-9548	05858263539	9BF9RM1KCGWSRJSK3	False
van	Fiat	Ducato	13	11.55	2016	PBR-1803	85827721638	9BDSH1R6JQPK6OTNB	False
carro	Honda	Civic	4	7.24	2015	PMC-4227	09612821556	93HX74733PHUHXC89	False
van	Fiat	Ducato	5	9.53	2017	PJT-1505	94087041044	9BDK91SBG3232EDNC	False
carro	Fiat	Uno	4	12.32	2016	PUU-3864	69510139802	9BDLGIILT9OE0FEVR	False
carro	Chevrolet	Prisma	4	8.15	2015	OVG-1640	54708874896	9BGWSZ9CIYJZIEHQH	False
carro	Fiat	Uno	4	9.26	2015	PWL-4748	89357255932	9BDL84D22ZG9VFOFK	False
van	Fiat	Ducato	10	9.47	2014	PYV-8120	79111852107	9BD77V5YY0FOEC2U2	False
van	Fiat	Ducato	16	14.99	2015	PAY-9643	45635087185	9BD9Z9L4HJH5I0BQL	False
carro	Ford	Ka	4	6.76	2014	PFU-0361	32364809237	9BFFFVW2V9K3EM3R1	False
carro	Ford	Ka	4	13.74	2017	PKN-0148	22638636425	9BFJLWOZZFNJXDYSA	False
carro	Renault	Logan	2	10.35	2015	PBG-3639	61810680728	93YR1KNMM1NX86UC1	False
carro	Ford	Ka+	4	14.14	2014	PBA-2962	31531741392	9BF8KRBKZ3QC77N5S	False
van	Fiat	Ducato	9	11.22	2014	PAQ-1974	69601194887	9BDUJXUF893IYH3HK	False
carro	Honda	Civic	4	9.37	2017	PUF-4880	32867819896	93HBJVYNBMOAIH2QS	False
carro	Chevrolet	Onix	4	11.69	2017	PFS-5799	17921643105	9BG12B134NPPOXWI4	False
van	Mercedes-Benz	Sprinter	17	15.09	2014	PJS-7327	54900767397	9BMDPO42UYWRTBRHA	False
carro	Volkswagen	Gol	4	6.66	2017	POJ-4335	31344319418	9BWWNK5DYJAI1RI1V	False
carro	Volkswagen	Gol	4	9.0	2017	PNS-7305	19281566598	9BWQNFMUUQ5FICSEC	False
van	Fiat	Ducato	17	12.25	2017	PZC-9532	61213571587	9BDDX42CEW93TKN8Z	False
carro	Chevrolet	Onix	4	9.2	2017	PZM-2782	46776118468	9BGP5WBRWN8EHO7F6	False
van	Mercedes-Benz	Sprinter	11	6.86	2017	PGS-7560	63507948337	9BMMJQPD6KX0HNFVJ	False
carro	Ford	Ka+	4	12.11	2016	PAK-1107	02369324000	9BFF6N62OLJ0G3V0V	False
carro	Volkswagen	Gol	4	9.7	2017	OAZ-5074	19306312702	9BWHNVK7KM23C3U8Z	False
carro	Toyota	Corolla	4	8.84	2016	PUU-0609	95081175934	9BRLJ4XHZ1F190ISY	False
carro	Ford	Ka+	2	8.58	2017	PUW-2690	34868161728	9BF1OM9GG61OP6X07	False
carro	Renault	Logan	4	10.48	2014	PZF-3271	86915284915	93YT9TG0CPHXWBCM3	False
carro	Renault	Logan	4	9.68	2015	OSZ-5029	20828500951	93YLZ16DG5O92RPUK	False
van	Fiat	Ducato	9	12.4	2017	PXN-2475	81066804286	9BDTTI7IQBKWR2A0W	False
van	Mercedes-Benz	Sprinter	14	10.11	2016	PYX-7019	27307228609	9BMQUN4BBBOS4LQGK	False
van	Mercedes-Benz	Sprinter	17	13.5	2017	PSQ-0379	14560259771	9BMYHS6C92KEP84SN	False
van	Fiat	Ducato	12	11.86	2014	PUH-4401	84767774906	9BDI6SOYQBARLECCO	False
ute	Fiat	Ducato	1800	15.61	2014	PTX-9311	83126175884	9BDXSEDGG3NEAT1X5	False
carro	Honda	Civic	4	11.58	2017	OEB-0557	50167425440	93H2TXE09FW1Q7152	False
ute	Fiat	Ducato	1800	15.39	2016	PEN-7032	49623267183	9BDLQPGENSN2NGH3P	False
van	Fiat	Ducato	10	13.38	2017	PHL-4881	61119745739	9BDZ30XR0I72B529A	False
van	Mercedes-Benz	Sprinter	14	9.54	2017	PLC-2723	72610182032	9BMSXVHCQ5OS6GJDS	False
van	Mercedes-Benz	Sprinter	15	15.18	2017	OAG-1514	43854754571	9BM11C9LQMZGY6N9W	False
carro	Chevrolet	Prisma	4	9.12	2017	PHH-7020	66801859240	9BGME7YX8P4CINO1D	False
ute	Fiat	Ducato	1800	10.92	2017	PQD-8433	24187298726	9BDGEKWTY3EAW5RR1	False
carro	Volkswagen	Gol	4	7.35	2017	PXF-1389	09013290632	9BW9RG73T1YN0K05W	False
carro	Ford	Ka	4	9.7	2015	OHW-4269	52730683355	9BFWNMHT8MV5SFV49	False
carro	Honda	Civic	2	13.7	2014	PHQ-9897	95885633048	93H84EK9H0MO8OCZD	False
van	Mercedes-Benz	Sprinter	7	14.39	2017	PFD-6545	87440575479	9BMA8IF5RRVAESQXA	False
carro	Volkswagen	Gol	2	13.61	2016	PDJ-2308	08960931744	9BW9XWO6CMNUWHWPW	False
van	Mercedes-Benz	Sprinter	9	8.38	2014	PPY-2825	76032340205	9BMBKYOB2WFBVJXMI	False
van	Mercedes-Benz	Sprinter	14	15.09	2014	OPN-2479	69144366932	9BMQ0PEGCUFA7PQGL	False
carro	Fiat	Uno	4	10.44	2017	PSG-4475	71285289231	9BDPDU6ZIZVYDB6M4	False
van	Fiat	Ducato	9	9.77	2017	PMH-0971	08799135518	9BD9N3O74L38ZLOGH	False
carro	Renault	Sandero	4	9.7	2014	PWS-6514	23379583063	93YEVNHDM8Z7GNOE4	False
carro	Volkswagen	Gol	4	8.84	2016	OPR-3339	78659085931	9BW7HFQKOUYBZARQH	False
van	Fiat	Ducato	10	11.71	2016	OGE-7273	12890552211	9BD8BZ00YHDUNQKD8	False
carro	Honda	Civic	4	13.9	2017	PUJ-9939	24448022423	93H1V6V2OKMI8ESIQ	False
carro	Toyota	Corolla	4	8.54	2017	PVL-0839	09216071450	9BRNK9ROZ3LCE656N	False
van	Mercedes-Benz	Sprinter	16	9.83	2014	PQM-2079	21490665687	9BMZC08RNO5LEGA7L	False
carro	Toyota	Corolla	4	9.64	2016	PIB-7638	93362086375	9BRRHWXYX2NU03C39	False
carro	Volkswagen	Gol	4	12.32	2017	PNP-6211	67525987286	9BWDJVKX3NK8OUYPJ	False
ute	Mercedes-Benz	Sprinter	1800	12.6	2017	POH-6122	69329408452	9BMRFW6AG8ERUVXG9	False
ute	Fiat	Ducato	1800	9.73	2017	PPF-6300	20720459130	9BD4NQPXD45O8ONA2	False
carro	Volkswagen	Gol	2	7.96	2016	OCF-7873	64998395003	9BWT8BXHOHUB3SO5H	False
van	Mercedes-Benz	Sprinter	10	8.83	2017	PTA-8281	46495852903	9BMWEC9UQ655YARY9	True
carro	Honda	Civic	2	12.15	2016	PMO-1190	40199687538	93HBMTB4310OIYZHW	False
van	Mercedes-Benz	Sprinter	10	13.29	2017	PUI-7450	51607966455	9BMK7RYABU0X0KQO4	False
carro	Toyota	Corolla	4	8.76	2017	PTG-6278	92819936960	9BRT0KD42ZAASRUSN	False
van	Mercedes-Benz	Sprinter	10	12.18	2017	PYA-8231	61162449738	9BMX8U8AZQ1I3N4AL	False
van	Mercedes-Benz	Sprinter	16	11.18	2017	PEU-9015	63831320395	9BMZ5FCMS64XTI4LJ	True
carro	Honda	Civic	2	15.0	2016	OGZ-1140	19964748314	93HOUK91B9LFGUZO7	False
carro	Chevrolet	Spin	4	8.38	2017	PYU-4777	78380721370	9BG1XS8NTFJUTZ4YH	False
carro	Ford	Ka+	2	14.8	2014	PUP-9520	08007876130	9BFNVDCGJJV81VVD2	False
carro	Renault	Sandero	4	8.99	2016	PZL-1158	66002739088	93Y9A0YSDUHJT9GST	False
carro	Toyota	Corolla	4	16.62	2015	PKJ-8265	36991836683	9BRKZZKM5HVZHN8LM	False
van	Fiat	Ducato	10	14.25	2015	PIZ-4495	40589613252	9BDFLPJPNDPRXOKQ6	False
carro	Toyota	Corolla	4	9.55	2017	OFQ-0727	01683228154	9BRYWY0IANZAGAILW	False
carro	Fiat	Uno	4	12.3	2017	PKK-3791	33381670058	9BD0D5GXO9DM5KJTM	False
carro	Honda	Civic	4	10.35	2015	OWK-1840	18734165267	93HD123S6FVJYH4S9	False
van	Fiat	Ducato	13	12.81	2017	PSN-1371	46032266561	9BDKTVS6UJLXQ3KV4	False
carro	Ford	Ka+	2	9.73	2015	PEE-2569	39812985584	9BFJUQQVWEWEUACTZ	False
van	Mercedes-Benz	Sprinter	9	11.08	2015	PBK-3683	60322684946	9BM1LFERTCYBUV21K	True
carro	Honda	Civic	2	11.3	2017	OPK-3925	10418352279	93H4FR7KTA91PG64J	False
carro	Renault	Logan	4	9.29	2014	PII-7557	94363360776	93Y4PJ4UGA2P3GN4U	False
carro	Ford	Ka	4	8.39	2017	PVZ-0158	24912997006	9BFCFFB98B05GBQWO	False
carro	Volkswagen	Gol	4	7.38	2017	PCW-7375	49934986985	9BW32XALDH66KN0TE	True
carro	Honda	Civic	4	7.98	2017	PPF-4985	87190882403	93H3O3FBAY1U03SMJ	False
ute	Fiat	Ducato	1800	12.82	2017	PCY-7989	96632060125	9BDYQPOVWVSRVKI62	False
van	Mercedes-Benz	Sprinter	17	9.24	2016	PHB-7156	03732287458	9BMD66EK0PAF36H9N	False
van	Mercedes-Benz	Sprinter	13	7.53	2015	OKO-2348	68694886612	9BMWWRR0BLJO4SM2D	False
ute	Fiat	Ducato	1800	12.87	2015	PXE-3342	62126473390	9BDT8Z33BJZC306RP	False
ute	Fiat	Ducato	1800	6.99	2017	PCV-4395	64771301799	9BDG24T2D51ZQNEUA	False
carro	Honda	Civic	2	10.53	2016	PWP-9977	64537066130	93HY6ZHHIATPNS443	False
carro	Chevrolet	Onix	4	11.75	2014	PNU-9080	02834730468	9BGCAJ2M4URRESVY2	False
ute	Mercedes-Benz	Sprinter	1800	14.67	2014	PEO-8966	32591799856	9BMWQDAIS726G0FL2	False
carro	Chevrolet	Prisma	4	14.03	2017	PJR-3096	51779562504	9BG9FGV4S1WQ8UOMW	True
carro	Ford	Ka+	2	8.38	2017	OJZ-5588	67889926044	9BF8FQQA8ECKKAR96	False
van	Mercedes-Benz	Sprinter	11	11.6	2016	OLK-4074	21960096027	9BMIH8JZKYCR70PHZ	False
carro	Fiat	Uno	2	9.56	2017	PMW-6745	17489901017	9BDPSMQM8ZL3UNMK6	False
carro	Ford	Ka+	4	10.24	2017	PSE-4924	25556857461	9BFMO853QB7QYDPVW	False
carro	Fiat	Uno	4	13.61	2017	OLN-6344	93168643558	9BD2LWAVVNJ6KA03R	False
carro	Renault	Logan	4	3.76	2016	OPV-3465	34482616842	93YJPAJE1PJJFPZBX	True
carro	Fiat	Uno	4	10.64	2017	PVR-0464	59463707768	9BDOGZZN29HY04QTC	False
carro	Ford	Ka	4	9.05	2017	PKU-2736	46985273811	9BFNF9YNS5BNJKDP0	False
van	Fiat	Ducato	14	10.09	2017	OIW-6135	10762474299	9BDS9CX5D964REH9V	False
carro	Ford	Ka	4	8.66	2017	PEK-1436	47366331391	9BF45KU3P5XCK76WH	True
carro	Honda	Civic	4	10.04	2017	PZF-7741	88716346037	93HYBTE83I5AH60EF	False
van	Mercedes-Benz	Sprinter	11	7.85	2017	OSL-5050	83559436358	9BMSQPHYSZUEEPJCO	False
van	Fiat	Ducato	18	11.48	2016	PBU-8165	97870424748	9BDJ1GZ19TLZ2BIWV	True
van	Fiat	Ducato	6	9.51	2017	OZE-7150	33196851591	9BD7U4WJA7STXTLUX	True
carro	Fiat	Uno	4	9.29	2017	PNY-5832	13807682029	9BDAF4QC21Q5LO7FF	True
carro	Volkswagen	Gol	4	11.82	2015	PFL-7074	70988941031	9BW32DZQVJ29T534H	True
van	Fiat	Ducato	14	15.44	2015	PAS-2114	53708046126	9BD6PH2PF8U4ZBO4L	False
carro	Chevrolet	Prisma	4	7.4	2015	PHN-2334	21073666205	9BGYONSEB730VLFOA	False
van	Fiat	Ducato	9	9.04	2016	PAF-8251	99237623406	9BDLULEKTT1979JSD	False
van	Mercedes-Benz	Sprinter	16	8.11	2016	PQV-8105	68785652325	9BMCWKAN11YLCJSV9	False
carro	Renault	Logan	4	9.86	2017	OVH-5741	10114851349	93Y5OOLV3HEEVPK69	False
carro	Ford	Ka+	4	11.95	2017	PHM-1428	69951261205	9BF99GAO1IS8KLHKE	False
carro	Toyota	Corolla	4	12.18	2016	PZG-6900	28137745977	9BRDBIDW3TFAO9RQI	False
carro	Ford	Ka	4	13.89	2017	PMA-9155	58857814337	9BF7WZAZNLIWLZZUT	False
carro	Ford	Ka+	4	11.01	2017	OMP-2227	62548637168	9BF8FKAPLGNOYJ3JI	False
carro	Fiat	Uno	4	8.14	2017	PFP-2291	63099723971	9BDIKU3GFLORPDCQ8	False
van	Fiat	Ducato	16	10.24	2017	PVD-4591	08790494074	9BD4FFH0LHDAG6VDG	False
van	Mercedes-Benz	Sprinter	9	7.98	2017	POW-2605	98835787654	9BMMJTO4EL0W58HMX	False
van	Fiat	Ducato	12	10.27	2016	PNI-9072	83974751168	9BDNFCEFUE4DSK0L5	False
van	Mercedes-Benz	Sprinter	16	10.47	2014	POS-8326	95928074857	9BMY8I2D5YMULM0BR	False
van	Mercedes-Benz	Sprinter	14	8.39	2017	OHA-7174	41577762499	9BM0M0KUE2KQ7E3MW	False
carro	Fiat	Uno	2	11.5	2017	PXN-1464	64396408227	9BDZJ8266ST1E1S63	False
van	Fiat	Ducato	12	12.24	2015	POK-5146	79693513754	9BD0QV1DPCGQWCQ6U	False
carro	Fiat	Uno	4	13.66	2017	PCH-2102	53133299586	9BDAIB40AHZOV3LZO	False
carro	Toyota	Corolla	2	10.94	2016	OQU-1847	71060600001	9BR7P6TTJMQVG0E52	False
carro	Renault	Logan	4	6.04	2017	PKI-9025	37838719180	93YL86BWKGY4W35PN	False
van	Mercedes-Benz	Sprinter	11	10.76	2014	PLN-4360	50999899210	9BM59WYKGUBQZ1CEZ	False
carro	Chevrolet	Spin	4	12.27	2016	PAM-3060	78146430645	9BG7AG8CVU7B5ORFE	False
van	Mercedes-Benz	Sprinter	15	8.23	2017	PCC-1768	73048541797	9BM8YMLI60YKXCTBD	False
van	Fiat	Ducato	19	14.77	2017	OWU-0204	70588281218	9BDDP2OF7FNSCUSU0	False
carro	Chevrolet	Spin	2	4.58	2015	PFC-8153	49866904125	9BGVH22RK5S5Y54Z7	False
van	Mercedes-Benz	Sprinter	13	12.02	2017	PXU-1044	20106363755	9BMN9UBXKQ6FTUGL4	False
van	Mercedes-Benz	Sprinter	14	12.6	2017	PGT-4703	82718049745	9BM1IGQ3SACTLDSIH	False
van	Mercedes-Benz	Sprinter	9	11.27	2017	OVA-3610	29923446744	9BMV5MZA5ZE9U2HGR	False
van	Fiat	Ducato	11	12.97	2017	OJU-6917	67862391186	9BDLONJKZA6H9YU03	False
carro	Renault	Sandero	4	10.59	2016	OZA-8630	04458920148	93YOLI8FR10ICKOJE	False
carro	Honda	Civic	4	9.05	2014	PPJ-5307	89858557392	93HME826VII6Z3H8R	False
van	Fiat	Ducato	13	11.56	2016	PZE-2547	97209768308	9BDLGMHXNOA0RW1J7	False
van	Mercedes-Benz	Sprinter	15	16.41	2014	PDD-2333	18237295946	9BMFWRM4GPH4JUXR6	False
carro	Toyota	Corolla	4	10.32	2017	PUY-0892	17932376432	9BRLM6DZI4YB4QWTS	False
carro	Toyota	Corolla	4	12.67	2017	PDI-3888	55945960584	9BRRYQAGD0Y6PBI3D	False
van	Mercedes-Benz	Sprinter	12	16.56	2014	OFG-7895	60396873748	9BMGEY6LDQDG05QL5	False
carro	Renault	Logan	4	9.13	2017	OYG-0477	01848585966	93YUY8JDQX22JCBMO	False
carro	Volkswagen	Gol	4	13.19	2016	PXH-4916	28314965999	9BWU6VBW7OW2O5HQO	False
van	Fiat	Ducato	13	6.94	2015	OGD-1675	70978293284	9BDV53E1SLSG14QQ2	False
carro	Toyota	Corolla	4	9.02	2014	OQS-0151	94730009992	9BROKSV3Z8Y7MM9VF	False
carro	Honda	Civic	4	13.42	2015	PUQ-4484	18558607320	93HZQHY3JWO0TI9EN	False
carro	Chevrolet	Prisma	2	8.91	2017	PEI-9163	76907972618	9BG7AOXYNVGK49SMY	False
carro	Volkswagen	Gol	4	9.32	2016	PRP-7500	42670089582	9BWG73V3QUC7XBREB	False
ute	Mercedes-Benz	Sprinter	1800	10.05	2017	PUY-3034	58877575083	9BMEY3SEXY3A5NOYU	False
carro	Ford	Ka+	4	10.79	2016	OIQ-9821	94369093140	9BF0RKYKNNLFL5ZJI	False
van	Mercedes-Benz	Sprinter	12	8.23	2016	PJA-3292	01551001579	9BM3GJ265EMGUY58R	False
van	Mercedes-Benz	Sprinter	17	9.99	2015	OJP-2962	93444373086	9BMYAABQ6DGCX9RIO	False
carro	Volkswagen	Gol	4	8.31	2016	PWS-3332	42201214543	9BW65ZH97HBYW77T6	False
